Chromosome	N_SNPs	Pi_All	Pi_Cluster1	Pi_Cluster2	Pi_Cluster3
1	61900	0.00065890	0.00064066	0.00062556	0.00061484
2	44395	0.00051646	0.00048664	0.00051354	0.00047123
3	44794	0.00059709	0.00055604	0.00059582	0.00055857
4	41803	0.00057960	0.00054508	0.00057111	0.00051761
5	39657	0.00060274	0.00057152	0.00059739	0.00055237
6	38299	0.00060512	0.00056284	0.00061502	0.00055098
7	43739	0.00060061	0.00057920	0.00059015	0.00057035
8	34921	0.00058713	0.00053943	0.00059160	0.00054231
9	38626	0.00063773	0.00059696	0.00063730	0.00059471
10	31324	0.00047947	0.00047131	0.00046410	0.00045224
11	32785	0.00052584	0.00050720	0.00052810	0.00046349
12	33700	0.00063555	0.00060528	0.00062238	0.00059237
13	29325	0.00059466	0.00058820	0.00056863	0.00054667
14	28381	0.00060886	0.00059548	0.00058901	0.00054152
15	31252	0.00060798	0.00056508	0.00060206	0.00056645
16	25444	0.00053039	0.00050640	0.00053230	0.00049293
17	28354	0.00062230	0.00058832	0.00060806	0.00057822
18	25557	0.00058638	0.00055433	0.00058823	0.00052611
19	22585	0.00052218	0.00049017	0.00049402	0.00049335
20	22589	0.00053904	0.00052274	0.00053394	0.00047363
